feature,condition,default_rate,baseline_default_rate,lift,support
OCCUPATION_TYPE,OCCUPATION_TYPE == 'Low-skill Laborers',0.1715,0.0807,2.12,2093
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Transport: type 3',0.1575,0.0807,1.95,1187
EXT_SOURCE_3,"EXT_SOURCE_3 in [-0.00, 0.37]",0.1506,0.0807,1.87,61993
EXT_SOURCE_2,"EXT_SOURCE_2 in [-0.00, 0.39]",0.1429,0.0807,1.77,76716
EXT_SOURCE_1,"EXT_SOURCE_1 in [0.01, 0.33]",0.1356,0.0807,1.68,33534
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Construction',0.1168,0.0807,1.45,6721
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Restaurant',0.1171,0.0807,1.45,1811
bureau_debt_credit_ratio,"bureau_debt_credit_ratio in [0.49, 7.79]",0.1153,0.0807,1.43,63789
OCCUPATION_TYPE,OCCUPATION_TYPE == 'Drivers',0.1133,0.0807,1.4,18603
OCCUPATION_TYPE,OCCUPATION_TYPE == 'Waiters/barmen staff',0.1128,0.0807,1.4,1348
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Cleaning',0.1115,0.0807,1.38,260
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Industry: type 1',0.1107,0.0807,1.37,1039
DAYS_BIRTH,"DAYS_BIRTH in [-12413.00, -7489.00]",0.11,0.0807,1.36,76871
AMT_GOODS_PRICE,"AMT_GOODS_PRICE in [238500.00, 450000.00]",0.1093,0.0807,1.35,78102
EMPLOYED_TO_AGE_RATIO,"EMPLOYED_TO_AGE_RATIO in [-0.00, 0.06]",0.1079,0.0807,1.34,63035
OCCUPATION_TYPE,OCCUPATION_TYPE == 'Security staff',0.1074,0.0807,1.33,6721
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Industry: type 3',0.1062,0.0807,1.32,3278
ORGANIZATION_TYPE,ORGANIZATION_TYPE == 'Realtor',0.1061,0.0807,1.31,396
OCCUPATION_TYPE,OCCUPATION_TYPE == 'Laborers',0.1058,0.0807,1.31,55186
